Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
100,Paul Reed,PHI,23,4,4,0,16.5,7.3,3.5,6.0,58.3,0.0,0.0,0.0,0.3,0.3,100.0,4.3,2.8,7.0,0.5,1.0,0.8,0.5,1.8,19.2,1.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Grant Williams,BOS,24,2,1,1,9.3,7.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,1.0,11.2,0.0,0.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Kyle Lowry,MIA,37,4,3,1,22.0,7.0,2.8,5.8,47.8,0.8,2.5,30.0,0.8,0.8,100.0,0.3,2.3,2.5,3.5,2.3,1.0,0.5,1.5,17.5,0.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Jarred Vanderbilt,LAL,24,4,3,1,21.5,6.8,2.8,4.8,57.9,0.5,2.0,25.0,0.8,1.0,75.0,1.8,2.8,4.5,0.3,1.0,1.0,1.8,3.0,19.8,0.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Mitchell Robinson,NYK,25,4,3,1,26.3,6.8,3.0,4.8,63.2,0.0,0.0,0.0,0.8,1.8,42.9,4.5,3.3,7.8,1.0,0.5,1.0,2.0,1.8,26.1,1.0,0.0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Moses Moody,GSW,20,3,2,1,9.9,6.7,2.3,3.7,63.6,1.0,2.3,42.9,1.0,1.0,100.0,0.7,2.0,2.7,0.3,0.0,0.0,0.0,2.0,10.4,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Dennis Schroder,LAL,29,4,3,1,22.6,6.5,2.0,4.8,42.1,0.5,1.8,28.6,2.0,2.0,100.0,0.0,0.8,0.8,2.8,2.3,1.0,0.5,1.8,13.8,0.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Immanuel Quickley,NYK,23,4,3,1,22.3,6.5,2.0,5.8,34.8,0.8,2.8,27.3,1.8,2.5,70.0,0.0,1.8,1.8,1.5,1.3,0.5,0.0,1.0,11.1,0.0,0.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Kevon Looney,GSW,27,4,2,2,29.5,6.5,2.8,5.0,55.0,0.0,0.0,0.0,1.0,1.5,66.7,3.5,9.0,12.5,4.5,1.3,0.8,0.8,3.8,31.5,0.0,0.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Dorian Finney-Smith,BKN,29,4,0,4,25.1,6.3,2.3,5.8,39.1,1.8,4.3,41.2,0.0,0.0,0.0,1.5,3.0,4.5,0.8,1.3,0.8,0.5,1.8,15.3,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Cedi Osman,CLE,28,4,1,3,19.7,6.0,1.8,5.0,35.0,1.0,4.0,25.0,1.5,2.3,66.7,0.3,3.3,3.5,1.0,1.3,0.5,0.3,2.5,12.7,0.0,0.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Josh Okogie,PHX,24,5,4,1,20.0,6.0,1.8,4.2,42.9,0.4,1.6,25.0,2.0,2.2,90.9,1.6,1.6,3.2,1.4,0.2,1.0,0.2,2.2,15.3,0.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Max Strus,MIA,27,4,3,1,27.5,6.0,2.3,4.5,50.0,1.3,3.3,38.5,0.3,0.3,100.0,0.5,2.0,2.5,0.8,0.8,0.8,0.0,1.8,11.6,0.0,0.0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Onyeka Okongwu,ATL,22,5,2,3,22.3,6.0,2.4,4.2,57.1,0.2,0.2,100.0,1.0,1.4,71.4,3.2,2.2,5.4,1.0,1.2,0.4,1.2,3.2,17.6,0.0,0.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
