資料日期,幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20221026,USD,本行買入,31.90000,32.25000,32.23200,32.17000,32.07000,31.94500,31.84500,31.74000,31.62800,本行賣出,32.57000,32.35000,32.34000,32.28600,32.20200,32.09500,31.99500,31.90000,31.80200
20221025,USD,本行買入,31.92500,32.27500,32.25700,32.19500,32.09500,31.97000,31.87000,31.76500,31.65300,本行賣出,32.59500,32.37500,32.36500,32.31100,32.22700,32.12000,32.02000,31.92500,31.82700
20221024,USD,本行買入,31.83500,32.18500,32.16700,32.10000,32.00000,31.87300,31.77700,31.66800,31.55300,本行賣出,32.50500,32.28500,32.27600,32.22000,32.13500,32.01700,31.92600,31.83500,31.73000
20221021,USD,本行買入,31.79500,32.14500,32.12800,32.07100,31.97400,31.85800,31.75900,31.66100,31.55000,本行賣出,32.46500,32.24500,32.23500,32.18600,32.10700,32.00500,31.90300,31.82300,31.72300
20221020,USD,本行買入,31.71000,32.06000,32.04200,31.98000,31.87500,31.74500,31.65400,31.54200,31.43000,本行賣出,32.38000,32.16000,32.15000,32.09800,32.01500,31.90000,31.80300,31.71500,31.60500
20221019,USD,本行買入,31.62500,31.97500,31.95800,31.90300,31.80700,31.66500,31.58200,31.47500,31.36000,本行賣出,32.29500,32.07500,32.06800,32.01600,31.93600,31.83000,31.72500,31.64000,31.53500
20221018,USD,本行買入,31.60000,31.95000,31.93400,31.87400,31.78000,31.64000,31.56000,31.46000,31.36000,本行賣出,32.27000,32.05000,32.04300,31.99000,31.91000,31.81000,31.70500,31.62000,31.52500
20221017,USD,本行買入,31.60000,31.95000,31.93300,31.87400,31.78000,31.67000,31.56500,31.46500,31.36000,本行賣出,32.27000,32.05000,32.04300,31.99000,31.91000,31.81000,31.70500,31.62000,31.52500
20221014,USD,本行買入,31.49500,31.84500,31.82800,31.77100,31.67400,31.55800,31.45900,31.36100,31.25000,本行賣出,32.16500,31.94500,31.93500,31.88600,31.80700,31.70500,31.60300,31.52300,31.42300
20221013,USD,本行買入,31.49500,31.84500,31.82800,31.77700,31.69300,31.56800,31.46900,31.37500,31.26100,本行賣出,32.16500,31.94500,31.93800,31.89000,31.81500,31.70300,31.60500,31.53200,31.42300
20221012,USD,本行買入,31.44500,31.79500,31.77800,31.72600,31.64300,31.51100,31.41900,31.32000,31.21100,本行賣出,32.11500,31.89500,31.88900,31.84100,31.76600,31.65300,31.55700,31.47200,31.37300
20221011,USD,本行買入,31.45500,31.80500,31.78900,31.74400,31.65900,31.53800,31.43100,31.32800,31.21100,本行賣出,32.12500,31.90500,31.89900,31.85500,31.78300,31.67400,31.58000,31.49300,31.38800
20221007,USD,本行買入,31.27000,31.62000,31.60400,31.55700,31.48200,31.36300,31.26000,31.16200,31.05600,本行賣出,31.94000,31.72000,31.71400,31.67200,31.60500,31.50100,31.40200,31.32000,31.21500
20221006,USD,本行買入,31.12500,31.47500,31.45700,31.40900,31.33200,31.22800,31.11300,31.01400,30.91600,本行賣出,31.79500,31.57500,31.57100,31.52400,31.46000,31.35900,31.26200,31.17500,31.08300
20221005,USD,本行買入,31.17000,31.52000,31.50600,31.46400,31.38500,31.26500,31.17500,31.06500,30.96000,本行賣出,31.84000,31.62000,31.61500,31.58000,31.50600,31.40500,31.32500,31.23000,31.14000
20221004,USD,本行買入,31.35000,31.70000,31.68600,31.64200,31.56000,31.45000,31.34500,31.24500,31.13000,本行賣出,32.02000,31.80000,31.79500,31.75500,31.68600,31.59000,31.49500,31.40500,31.30000
20221003,USD,本行買入,31.47500,31.82500,31.81100,31.76300,31.68500,31.57500,31.46500,31.36500,31.25000,本行賣出,32.14500,31.92500,31.92000,31.87700,31.81100,31.71500,31.60500,31.51500,31.41500
20220930,USD,本行買入,31.35000,31.70000,31.68500,31.64000,31.55800,31.43800,31.33000,31.22800,31.11000,本行賣出,32.02000,31.80000,31.79500,31.75600,31.68700,31.59000,31.49000,31.40000,31.29000
20220929,USD,本行買入,31.45000,31.80000,31.78600,31.74200,31.66000,31.56500,31.43500,31.33200,31.21000,本行賣出,32.12000,31.90000,31.89600,31.86000,31.78800,31.70000,31.60000,31.51500,31.41000
20220928,USD,本行買入,31.47500,31.82500,31.81100,31.76500,31.68200,31.58600,31.45000,31.35000,31.22500,本行賣出,32.14500,31.92500,31.92100,31.88300,31.81000,31.71900,31.61500,31.53500,31.42000
20220927,USD,本行買入,31.38000,31.73000,31.71600,31.66800,31.58500,31.48500,31.34800,31.24000,31.11000,本行賣出,32.05000,31.83000,31.82600,31.78000,31.70800,31.61800,31.51500,31.43000,31.32500
20220926,USD,本行買入,31.42000,31.77000,31.75500,31.70500,31.62500,31.52600,31.39400,31.29600,31.18000,本行賣出,32.09000,31.87000,31.86300,31.82000,31.75000,31.66000,31.57000,31.49000,31.38500
20220923,USD,本行買入,31.27500,31.62500,31.61000,31.55500,31.46700,31.37100,31.23500,31.14000,31.01500,本行賣出,31.94500,31.72500,31.71800,31.67000,31.59100,31.50300,31.39900,31.31800,31.22000
20220922,USD,本行買入,31.22000,31.57000,31.55400,31.50000,31.40800,31.31000,31.18500,31.09000,30.96700,本行賣出,31.89000,31.67000,31.66300,31.61500,31.53500,31.44800,31.32300,31.24200,31.15500
20220921,USD,本行買入,31.05000,31.40000,31.38000,31.32400,31.24000,31.14500,31.00200,30.91200,30.81500,本行賣出,31.72000,31.50000,31.49200,31.44400,31.36400,31.27800,31.15000,31.07200,30.99000
20220920,USD,本行買入,30.96000,31.31000,31.29400,31.22600,31.14500,31.05500,30.91000,30.83000,30.73000,本行賣出,31.63000,31.41000,31.40200,31.34900,31.27500,31.19000,31.06000,30.98500,30.90000
20220919,USD,本行買入,30.96500,31.31500,31.29900,31.23500,31.15000,31.06000,30.91500,30.84500,30.74000,本行賣出,31.63500,31.41500,31.40700,31.35500,31.27800,31.19500,31.07000,30.99500,30.91000
20220916,USD,本行買入,30.90000,31.25000,31.23400,31.18000,31.08500,30.99500,30.84000,30.77500,30.67500,本行賣出,31.57000,31.35000,31.34200,31.29000,31.21300,31.13000,31.01500,30.93000,30.85500
20220915,USD,本行買入,30.73500,31.08500,31.07000,31.01500,30.92500,30.82500,30.72500,30.61500,30.52500,本行賣出,31.40500,31.18500,31.17800,31.12800,31.05100,30.97500,30.87000,30.78500,30.69500
20220914,USD,本行買入,30.69000,31.04000,31.02500,30.97000,30.89000,30.78500,30.68500,30.59500,30.50500,本行賣出,31.36000,31.14000,31.13300,31.08500,31.01600,30.94000,30.83500,30.75500,30.66500
20220913,USD,本行買入,30.49000,30.84000,30.82600,30.76800,30.69500,30.60000,30.49500,30.40000,30.31500,本行賣出,31.16000,30.94000,30.93400,30.89000,30.82600,30.75000,30.65000,30.56500,30.47500
20220912,USD,本行買入,30.47500,30.82500,30.81100,30.75900,30.68000,30.59000,30.48500,30.40500,30.31000,本行賣出,31.14500,30.92500,30.91900,30.87700,30.81300,30.74000,30.64000,30.55500,30.46500
20220908,USD,本行買入,30.50000,30.85000,30.83600,30.78900,30.71300,30.63400,30.51700,30.43000,30.34000,本行賣出,31.17000,30.95000,30.94500,30.90400,30.84000,30.77000,30.66500,30.58000,30.50000
20220907,USD,本行買入,30.53000,30.88000,30.86500,30.82000,30.75000,30.68000,30.57500,30.48000,30.39500,本行賣出,31.20000,30.98000,30.97400,30.93400,30.87200,30.81500,30.71500,30.63000,30.55500
20220906,USD,本行買入,30.35500,30.70500,30.69000,30.64800,30.58500,30.52000,30.40500,30.31500,30.24000,本行賣出,31.02500,30.80500,30.79900,30.76000,30.70500,30.65000,30.54500,30.47000,30.40500
20220905,USD,本行買入,30.31500,30.66500,30.65000,30.61300,30.55000,30.48500,30.37000,30.28500,30.20500,本行賣出,30.98500,30.76500,30.75800,30.72500,30.67000,30.61500,30.51500,30.44000,30.38000
20220902,USD,本行買入,30.18500,30.53500,30.52000,30.48300,30.42000,30.35700,30.25700,30.17000,30.09000,本行賣出,30.85500,30.63500,30.62900,30.59700,30.54500,30.49000,30.39500,30.32000,30.26000
20220901,USD,本行買入,30.13000,30.48000,30.46400,30.43000,30.37000,30.30500,30.21000,30.12500,30.04500,本行賣出,30.80000,30.58000,30.57500,30.54400,30.49200,30.43500,30.35500,30.27500,30.21500
20220831,USD,本行買入,30.03500,30.38500,30.36800,30.33700,30.27900,30.21500,30.11900,30.03300,29.95300,本行賣出,30.70500,30.48500,30.47900,30.44800,30.39500,30.33700,30.27000,30.18000,30.12500
20220830,USD,本行買入,30.06500,30.41500,30.40000,30.36000,30.30500,30.23300,30.13300,30.05000,29.97000,本行賣出,30.73500,30.51500,30.50900,30.47700,30.42300,30.36300,30.29500,30.20200,30.14500
20220829,USD,本行買入,30.00000,30.35000,30.33600,30.30000,30.23900,30.17500,30.10200,30.00400,29.93500,本行賣出,30.67000,30.45000,30.44400,30.41200,30.35800,30.30000,30.23500,30.14200,30.09000
20220826,USD,本行買入,29.82000,30.17000,30.15500,30.12100,30.06000,29.99500,29.92200,29.82500,29.76000,本行賣出,30.49000,30.27000,30.26500,30.23200,30.17800,30.12000,30.05500,29.96500,29.91300
20220825,USD,本行買入,29.80000,30.15000,30.13500,30.10100,30.03900,29.97500,29.90400,29.80500,29.74000,本行賣出,30.47000,30.25000,30.24300,30.21200,30.15800,30.10000,30.03500,29.94500,29.89000
20220824,USD,本行買入,29.87000,30.22000,30.20600,30.17000,30.11200,30.04300,29.97000,29.86800,29.80500,本行賣出,30.54000,30.32000,30.31400,30.28200,30.23000,30.16800,30.10500,30.01500,29.96000
20220823,USD,本行買入,29.80500,30.15500,30.14200,30.10500,30.05100,29.98700,29.91000,29.81000,29.74700,本行賣出,30.47500,30.25500,30.24900,30.21700,30.16800,30.11200,30.05000,29.95700,29.90000
20220822,USD,本行買入,29.70000,30.05000,30.03700,30.00100,29.94800,29.88400,29.81200,29.70400,29.64200,本行賣出,30.37000,30.15000,30.14400,30.11300,30.06500,30.01000,29.95000,29.86000,29.80500
20220819,USD,本行買入,29.62500,29.97500,29.96100,29.92800,29.87100,29.81000,29.74500,29.64000,29.58000,本行賣出,30.29500,30.07500,30.07000,30.03900,29.99000,29.93500,29.87500,29.79000,29.74000
20220818,USD,本行買入,29.60000,29.95000,29.93700,29.90300,29.84600,29.78500,29.72000,29.61500,29.55500,本行賣出,30.27000,30.05000,30.04500,30.01600,29.96800,29.91500,29.85500,29.77000,29.72000
20220817,USD,本行買入,29.58500,29.93500,29.92200,29.89000,29.83500,29.77500,29.71500,29.62500,29.54500,本行賣出,30.25500,30.03500,30.03100,30.00300,29.95700,29.90500,29.84800,29.76500,29.71500
20220816,USD,本行買入,29.60000,29.95000,29.93800,29.90800,29.85700,29.80000,29.73000,29.64000,29.56500,本行賣出,30.27000,30.05000,30.04700,30.01900,29.97300,29.92300,29.86400,29.78200,29.73500
20220815,USD,本行買入,29.59000,29.94000,29.92900,29.89800,29.84700,29.79000,29.72200,29.63500,29.56500,本行賣出,30.26000,30.04000,30.03800,30.01000,29.96400,29.91500,29.85700,29.77500,29.73000
